cor_char,IS_cor_r,IS_cor_p,IS_CI_left,IS_CI_right,IS_adj.p,cor_char,IR_cor_r,IR_cor_p,IR_CI_left,IR_CI_right,IR_adj.p,Sig_num
genus_Clostridium.sensu.stricto vs genus_Parabacteroides,-0.202539283,0.009296779,-0.345931092,-0.049902308,0.049351935,genus_Clostridium.sensu.stricto vs genus_Parabacteroides,-0.222959529,0.005762796,-0.370000267,-0.065021335,0.039695391,2
genus_Collinsella vs genus_Eggerthella,-0.123872881,0.114036825,-0.272856603,0.030913034,0.286190382,genus_Collinsella vs genus_Eggerthella,-0.245815588,0.002268834,-0.39068612,-0.089062666,0.018607703,1
genus_Collinsella vs genus_Flavonifractor,0.245483607,0.001533318,0.094879575,0.385102007,0.011481004,genus_Collinsella vs genus_Flavonifractor,0.157007751,0.053391527,-0.003337761,0.309481998,0.182557119,1
genus_Collinsella vs genus_Odoribacter,-0.356853264,2.73E-06,-0.484394822,-0.214458414,5.84E-05,genus_Collinsella vs genus_Odoribacter,-0.293657402,0.000240793,-0.433516769,-0.139983791,0.00300004,2
genus_Collinsella vs genus_Parabacteroides,-0.35274952,3.61E-06,-0.480793478,-0.209975108,7.48E-05,genus_Collinsella vs genus_Parabacteroides,-0.170920179,0.035259261,-0.322351865,-0.010958836,0.137656018,1
genus_Collinsella vs genus_Veillonella,-0.219786266,0.004687344,-0.361722917,-0.06789166,0.029001748,genus_Collinsella vs genus_Veillonella,-0.184061579,0.023209956,-0.334457288,-0.024523445,0.104269778,1
genus_Collinsella vs genus_unclassified_Coriobacteriaceae,0.235130173,0.002439787,0.083979477,0.375704101,0.016985384,genus_Collinsella vs genus_unclassified_Coriobacteriaceae,0.045545395,0.57740769,-0.115559621,0.204315586,0.763403615,1
genus_Coprococcus vs genus_Lachnospiracea_incertae_sedis,0.217985391,0.005046913,0.06600864,0.360077784,0.030849766,genus_Coprococcus vs genus_Lachnospiracea_incertae_sedis,-0.028784184,0.724824216,-0.188177647,0.132086658,0.859234446,1
genus_Coprococcus vs genus_Prevotella,-0.284559386,0.000221704,-0.420312471,-0.13634651,0.002351096,genus_Coprococcus vs genus_Prevotella,-0.105426512,0.196128257,-0.261273608,0.05577742,0.410626655,1
genus_Coprococcus vs genus_Pseudoflavonifractor,-0.234453497,0.002513287,-0.375088867,-0.083268329,0.017390875,genus_Coprococcus vs genus_Pseudoflavonifractor,0.00909895,0.911413625,-0.151383326,0.169113872,0.962606713,1
genus_Coprococcus vs genus_unclassified_Clostridiales,0.21658882,0.005342559,0.06454911,0.358801382,0.032267643,genus_Coprococcus vs genus_unclassified_Clostridiales,-0.062560551,0.443865739,-0.220610229,0.09869045,0.662746486,1
genus_Coprococcus vs genus_unclassified_Lachnospiraceae,0.236585213,0.0022883,0.085509162,0.377026602,0.016127743,genus_Coprococcus vs genus_unclassified_Lachnospiraceae,-0.09676898,0.235628176,-0.253105262,0.064492722,0.456242598,1
genus_Dorea vs genus_Eggerthella,-0.265466072,0.000591521,-0.403158764,-0.116019728,0.005257963,genus_Dorea vs genus_Eggerthella,-0.330676974,3.17E-05,-0.466230699,-0.179951965,0.000520028,2
genus_Dorea vs genus_Holdemania,-0.208412706,0.007405361,-0.351318101,-0.056017442,0.041433679,genus_Dorea vs genus_Holdemania,-0.217182517,0.00719545,-0.364748603,-0.058973627,0.046814905,2
genus_Dorea vs genus_Lachnospiracea_incertae_sedis,0.297026645,0.000112354,0.149686871,0.431461114,0.001327292,genus_Dorea vs genus_Lachnospiracea_incertae_sedis,0.209199167,0.009693501,0.050635268,0.357475755,0.057593669,1
genus_Dorea vs genus_Oscillibacter,-0.328633262,1.74E-05,-0.459541999,-0.18374906,0.000280817,genus_Dorea vs genus_Oscillibacter,-0.166715748,0.04008888,-0.318468397,-0.0066314,0.151328886,1
genus_Dorea vs genus_Prevotella,-0.243050637,0.001713157,-0.382896177,-0.092314893,0.01266126,genus_Dorea vs genus_Prevotella,-0.137813181,0.090429233,-0.291633642,0.022955341,0.256846476,1
genus_Dorea vs genus_Ruminococcus,0.080027404,0.3083707,-0.075094711,0.231367814,0.527247991,genus_Dorea vs genus_Ruminococcus,0.260967722,0.001164945,0.105101881,0.404319365,0.011113281,1
genus_Dorea vs genus_unclassified_Coriobacteriaceae,0.261728441,0.000710925,0.112055236,0.39978946,0.00617489,genus_Dorea vs genus_unclassified_Coriobacteriaceae,0.02527325,0.757270737,-0.135537247,0.184786331,0.879336531,1
genus_Dorea vs genus_unclassified_Erysipelotrichaceae,0.081175125,0.301461724,-0.0739459,0.232460907,0.519884673,genus_Dorea vs genus_unclassified_Erysipelotrichaceae,0.271415352,0.000718737,0.116208603,0.413682739,0.00748274,1
genus_Eggerthella vs genus_Lachnospiracea_incertae_sedis,-0.130807231,0.095014726,-0.279367871,0.023869674,0.253979461,genus_Eggerthella vs genus_Lachnospiracea_incertae_sedis,-0.365956155,3.54E-06,-0.497065443,-0.218509951,7.52E-05,1
genus_Eggerthella vs genus_Ruminococcus,-0.131993644,0.092028337,-0.280480531,0.02266307,0.249494183,genus_Eggerthella vs genus_Ruminococcus,-0.34083522,1.73E-05,-0.475143112,-0.191007027,0.000313581,1
genus_Eggerthella vs genus_unclassified_Coriobacteriaceae,-0.202748241,0.009222778,-0.346122907,-0.050119669,0.049016162,genus_Eggerthella vs genus_unclassified_Coriobacteriaceae,0.070692249,0.386796603,-0.090595657,0.228366554,0.615419577,1
genus_Eggerthella vs genus_unclassified_Lachnospiraceae,-0.005341212,0.945882603,-0.159405384,0.148976941,0.971406245,genus_Eggerthella vs genus_unclassified_Lachnospiraceae,-0.313793888,8.26E-05,-0.451357078,-0.161662206,0.001192199,1
genus_Erysipelotrichaceae_incertae_sedis vs genus_Parabacteroides,-0.238861348,0.002068384,-0.379094257,-0.087903494,0.014829925,genus_Erysipelotrichaceae_incertae_sedis vs genus_Parabacteroides,-0.198254119,0.014348524,-0.347475478,-0.039239325,0.074919546,1
genus_Erysipelotrichaceae_incertae_sedis vs genus_unclassified_Bacteria,0.056657664,0.47115475,-0.098397428,0.209026986,0.67839143,genus_Erysipelotrichaceae_incertae_sedis vs genus_unclassified_Bacteria,-0.266360574,0.000910102,-0.409156301,-0.110830091,0.009081105,1
genus_Erysipelotrichaceae_incertae_sedis vs genus_unclassified_Clostridiales,-0.02740587,0.727579335,-0.180837134,0.127327655,0.853772972,genus_Erysipelotrichaceae_incertae_sedis vs genus_unclassified_Clostridiales,-0.365539671,3.64E-06,-0.496703349,-0.218052058,7.66E-05,1
genus_Erysipelotrichaceae_incertae_sedis vs genus_unclassified_Erysipelotrichaceae,-0.096921667,0.216972664,-0.24741947,0.058142725,0.422277144,genus_Erysipelotrichaceae_incertae_sedis vs genus_unclassified_Erysipelotrichaceae,-0.257897829,0.001337673,-0.401562342,-0.101845698,0.012457379,1
genus_Erysipelotrichaceae_incertae_sedis vs genus_unclassified_Ruminococcaceae,0.051380272,0.513506518,-0.103636253,0.203959836,0.710218296,genus_Erysipelotrichaceae_incertae_sedis vs genus_unclassified_Ruminococcaceae,-0.3415641,1.66E-05,-0.475781543,-0.19180172,0.00030123,1
genus_Faecalibacterium vs genus_Lachnospiracea_incertae_sedis,0.340039412,8.40E-06,0.196127413,0.469611927,0.000153781,genus_Faecalibacterium vs genus_Lachnospiracea_incertae_sedis,0.195442683,0.015821554,0.03631873,0.344901233,0.079896218,1
genus_Faecalibacterium vs genus_Oscillibacter,0.215997795,0.005472274,0.063931638,0.358261052,0.032876905,genus_Faecalibacterium vs genus_Oscillibacter,0.087489,0.283814647,-0.073807389,0.244324818,0.507032519,1
genus_Faecalibacterium vs genus_Parabacteroides,-0.258727526,0.00082244,-0.397081569,-0.10887562,0.006868955,genus_Faecalibacterium vs genus_Parabacteroides,0.428778466,3.56E-08,0.288330025,0.551165708,1.08E-06,2
genus_Faecalibacterium vs genus_unclassified_Bacteria,0.350122721,4.31E-06,0.2071085,0.478485995,8.62E-05,genus_Faecalibacterium vs genus_unclassified_Bacteria,0.205274885,0.011181211,0.046544567,0.353894121,0.063494797,1
genus_Faecalibacterium vs genus_unclassified_Clostridiales_Incertae.Sedis.XIII,-0.309840593,5.41E-05,-0.442877146,-0.163454333,0.000727135,genus_Faecalibacterium vs genus_unclassified_Clostridiales_Incertae.Sedis.XIII,-0.076626632,0.348091085,-0.234014391,0.084674726,0.573652095,1
genus_Faecalibacterium vs genus_unclassified_Lachnospiraceae,0.250584175,0.001210938,0.100262766,0.389721217,0.00939463,genus_Faecalibacterium vs genus_unclassified_Lachnospiraceae,0.214465285,0.007972685,0.056133083,0.362275219,0.050423637,1
genus_Flavonifractor vs genus_Odoribacter,-0.278011133,0.000312913,-0.414440339,-0.129361137,0.003061981,genus_Flavonifractor vs genus_Odoribacter,-0.133059293,0.102217257,-0.287196557,0.027794941,0.276623556,1
genus_Flavonifractor vs genus_Parabacteroides,-0.19470109,0.012479933,-0.338727269,-0.041759333,0.060284422,genus_Flavonifractor vs genus_Parabacteroides,-0.338265778,2.02E-05,-0.472891394,-0.188207148,0.000356065,1
genus_Flavonifractor vs genus_unclassified_Bacteria,-0.275146964,0.000362852,-0.411868325,-0.126310405,0.003439928,genus_Flavonifractor vs genus_unclassified_Bacteria,0.022539207,0.782837553,-0.138221599,0.182142803,0.897370347,1
genus_Flavonifractor vs genus_unclassified_Clostridiales,-0.222549013,0.004180264,-0.36424502,-0.070782533,0.026548754,genus_Flavonifractor vs genus_unclassified_Clostridiales,-0.121253697,0.136731981,-0.276149012,0.039780863,0.330067672,1
genus_Flavonifractor vs genus_unclassified_Coriobacteriaceae,0.195336304,0.012190336,0.042418491,0.339311702,0.059452336,genus_Flavonifractor vs genus_unclassified_Coriobacteriaceae,0.242053846,0.00266093,0.085093251,0.387291589,0.021287438,1
genus_Flavonifractor vs genus_unclassified_Firmicutes,-0.208906451,0.007263154,-0.351770526,-0.056532028,0.040888866,genus_Flavonifractor vs genus_unclassified_Firmicutes,-0.002679105,0.973867878,-0.162870701,0.15765011,0.992165211,1
genus_Holdemania vs genus_Ruminococcus,-0.080651005,0.30460402,-0.231961781,0.074470569,0.523358829,genus_Holdemania vs genus_Ruminococcus,-0.296472474,0.000208309,-0.436017446,-0.143005591,0.002653326,1
genus_Holdemania vs genus_Streptococcus,-0.215822803,0.005511217,-0.358101052,-0.063748837,0.033067304,genus_Holdemania vs genus_Streptococcus,0.102474167,0.209019137,-0.058752227,0.258490589,0.426927645,1
genus_Holdemania vs genus_unclassified_Bacteria,-0.168253941,0.03127169,-0.314295322,-0.014432932,0.118931531,genus_Holdemania vs genus_unclassified_Bacteria,-0.288254264,0.000316693,-0.428711026,-0.134191875,0.003731571,1
genus_Holdemania vs genus_unclassified_Ruminococcaceae,-0.201108197,0.009817848,-0.344617088,-0.048414058,0.051165015,genus_Holdemania vs genus_unclassified_Ruminococcaceae,-0.266367937,0.000909792,-0.409162899,-0.110837918,0.009081105,1
genus_Lachnospiracea_incertae_sedis vs genus_Prevotella,-0.053070325,0.499733439,-0.205583451,0.101959487,0.700302546,genus_Lachnospiracea_incertae_sedis vs genus_Prevotella,-0.286602032,0.000343998,-0.427239884,-0.132422857,0.003981299,1
genus_Lachnospiracea_incertae_sedis vs genus_Roseburia,0.351308118,3.98E-06,0.208401811,0.479527513,8.00E-05,genus_Lachnospiracea_incertae_sedis vs genus_Roseburia,0.313557018,8.37E-05,0.161406342,0.451147856,0.001204033,2
genus_Lachnospiracea_incertae_sedis vs genus_Ruminococcus,0.055266477,0.482130418,-0.099779283,0.207692015,0.687035846,genus_Lachnospiracea_incertae_sedis vs genus_Ruminococcus,0.262028582,0.00111017,0.106227894,0.405271501,0.010657635,1
genus_Lachnospiracea_incertae_sedis vs genus_Veillonella,-0.129148626,0.099318037,-0.277811704,0.025555751,0.260881479,genus_Lachnospiracea_incertae_sedis vs genus_Veillonella,-0.252229057,0.001719337,-0.396464454,-0.095841703,0.014959404,1
genus_Lachnospiracea_incertae_sedis vs genus_unclassified_Clostridiales_Incertae.Sedis.XIII,-0.279491338,0.000289679,-0.415768704,-0.130938861,0.002871599,genus_Lachnospiracea_incertae_sedis vs genus_unclassified_Clostridiales_Incertae.Sedis.XIII,-0.209203081,0.009692109,-0.357479325,-0.050639351,0.057593669,1
genus_Lachnospiracea_incertae_sedis vs genus_unclassified_Coriobacteriaceae,-0.063504846,0.419174506,-0.215589219,0.091587449,0.631879586,genus_Lachnospiracea_incertae_sedis vs genus_unclassified_Coriobacteriaceae,-0.239005203,0.003022598,-0.384537653,-0.081879952,0.023846105,1
genus_Lachnospiracea_incertae_sedis vs genus_unclassified_Firmicutes,-0.005381071,0.945479371,-0.159444231,0.148937965,0.971344295,genus_Lachnospiracea_incertae_sedis vs genus_unclassified_Firmicutes,0.290017158,0.000289782,0.136080459,0.430279881,0.003468263,1
genus_Lachnospiracea_incertae_sedis vs genus_unclassified_Lachnospiraceae,0.53287292,2.06E-13,0.412577551,0.634900751,9.39E-12,genus_Lachnospiracea_incertae_sedis vs genus_unclassified_Lachnospiraceae,0.678671217,7.45E-22,0.581675567,0.756637187,4.41E-20,2
genus_Odoribacter vs genus_Parabacteroides,0.375099592,7.47E-07,0.234465292,0.500355179,1.82E-05,genus_Odoribacter vs genus_Parabacteroides,0.364737612,3.84E-06,0.217170438,0.496005904,7.95E-05,2
genus_Odoribacter vs genus_unclassified_Coriobacteriaceae,-0.177916429,0.022653386,-0.323244039,-0.024390087,0.093960985,genus_Odoribacter vs genus_unclassified_Coriobacteriaceae,-0.32046546,5.70E-05,-0.457243732,-0.168877175,0.00087174,1
genus_Oscillibacter vs genus_Phascolarctobacterium,0.22905521,0.003175397,0.077600548,0.370176309,0.021231394,genus_Oscillibacter vs genus_Phascolarctobacterium,0.208190054,0.010058348,0.049582852,0.356555168,0.059308751,1
genus_Oscillibacter vs genus_unclassified_Clostridiales,0.084056528,0.284569666,-0.071059946,0.23520348,0.500607525,genus_Oscillibacter vs genus_unclassified_Clostridiales,0.442657831,1.13E-08,0.303959502,0.562980917,3.62E-07,1
genus_Oscillibacter vs genus_unclassified_Erysipelotrichaceae,-0.222376695,0.004210388,-0.364087772,-0.070602149,0.026628804,genus_Oscillibacter vs genus_unclassified_Erysipelotrichaceae,-0.198388103,0.014281418,-0.347598102,-0.039378579,0.074682643,1
genus_Oscillibacter vs genus_unclassified_Ruminococcaceae,0.272741374,0.000410396,0.123750295,0.40970643,0.003814274,genus_Oscillibacter vs genus_unclassified_Ruminococcaceae,0.398825367,3.60E-07,0.254853125,0.525498914,8.81E-06,2
genus_Parabacteroides vs genus_Phascolarctobacterium,-0.153661016,0.049477637,-0.300731004,0.00054741,0.162315125,genus_Parabacteroides vs genus_Phascolarctobacterium,0.273042769,0.000665491,0.117942187,0.415138558,0.00702463,1
genus_Parasutterella vs genus_Ruminococcus,-0.130236535,0.0964784,-0.27883251,0.024449922,0.255981109,genus_Parasutterella vs genus_Ruminococcus,-0.248989192,0.001979636,-0.393546865,-0.092415352,0.016594006,1
genus_Parasutterella vs genus_unclassified_Coriobacteriaceae,-0.217830654,0.005078933,-0.359936388,-0.065846895,0.031003926,genus_Parasutterella vs genus_unclassified_Coriobacteriaceae,-0.119788486,0.14157296,-0.274775023,0.041265229,0.337042702,1
genus_Phascolarctobacterium vs genus_Prevotella,-0.026680105,0.734520044,-0.180134498,0.12804211,0.85794697,genus_Phascolarctobacterium vs genus_Prevotella,-0.221576111,0.006080474,-0.368743509,-0.063572036,0.041295402,1
genus_Phascolarctobacterium vs genus_unclassified_Clostridiales,-0.208031443,0.007516859,-0.3509687,-0.055620141,0.04181134,genus_Phascolarctobacterium vs genus_unclassified_Clostridiales,-0.063447467,0.437419322,-0.221457175,0.097808595,0.658596985,1
genus_Phascolarctobacterium vs genus_unclassified_Erysipelotrichaceae,-0.271457704,0.000438065,-0.40855217,-0.122384982,0.004027369,genus_Phascolarctobacterium vs genus_unclassified_Erysipelotrichaceae,-0.063765066,0.435123935,-0.221760404,0.097492747,0.656790845,1
genus_Prevotella vs genus_Pseudoflavonifractor,0.111106022,0.156670907,-0.043840512,0.260832879,0.346973937,genus_Prevotella vs genus_Pseudoflavonifractor,0.219781974,0.006515682,0.061693452,0.367112834,0.043629236,1
genus_Prevotella vs genus_unclassified_Bacteria,-0.055832071,0.477651665,-0.208234823,0.099217555,0.683215681,genus_Prevotella vs genus_unclassified_Bacteria,-0.284037169,0.000390735,-0.424954661,-0.129678644,0.004443269,1
genus_Prevotella vs genus_unclassified_Lachnospiraceae,0.03529863,0.653629816,-0.11954751,0.188468275,0.809694263,genus_Prevotella vs genus_unclassified_Lachnospiraceae,-0.24733885,0.002125556,-0.392059566,-0.09067144,0.017558941,1
genus_Prevotella vs genus_unclassified_Ruminococcaceae,-0.255279421,0.000970298,-0.393967176,-0.105225966,0.007915132,genus_Prevotella vs genus_unclassified_Ruminococcaceae,-0.254805803,0.001535002,-0.398782807,-0.098569414,0.013860612,2
genus_Pseudoflavonifractor vs genus_unclassified_Clostridiales,0.010867057,0.890156763,-0.143568971,0.164786389,0.942883819,genus_Pseudoflavonifractor vs genus_unclassified_Clostridiales,-0.221554161,0.006085638,-0.368723565,-0.063549046,0.041295402,1
genus_Pseudoflavonifractor vs genus_unclassified_Lachnospiraceae,-0.241185492,0.001863814,-0.381204081,-0.09035013,0.013511913,genus_Pseudoflavonifractor vs genus_unclassified_Lachnospiraceae,-0.105257307,0.196851111,-0.261114177,0.055947989,0.41183514,1
genus_Pseudoflavonifractor vs genus_unclassified_Ruminococcaceae,-0.036735129,0.640500907,-0.189855171,0.118129459,0.801945123,genus_Pseudoflavonifractor vs genus_unclassified_Ruminococcaceae,-0.232760329,0.003905239,-0.378888363,-0.075307981,0.028955917,1
genus_Roseburia vs genus_unclassified_Bacteria,-0.218580066,0.004925536,-0.360621129,-0.066630322,0.03027014,genus_Roseburia vs genus_unclassified_Bacteria,0.004637612,0.954780485,-0.155739665,0.164776671,0.98523252,1
genus_Roseburia vs genus_unclassified_Firmicutes,-0.292637208,0.000143241,-0.427540609,-0.144983907,0.001620794,genus_Roseburia vs genus_unclassified_Firmicutes,0.181048557,0.025603695,0.021408192,0.33168617,0.110248204,1
genus_Roseburia vs genus_unclassified_Lachnospiraceae,0.359303625,2.30E-06,0.217138277,0.486543138,5.05E-05,genus_Roseburia vs genus_unclassified_Lachnospiraceae,0.446814692,7.92E-09,0.308655094,0.566510019,2.58E-07,2
genus_Roseburia vs genus_unclassified_Ruminococcaceae,-0.220272407,0.004594302,-0.362166864,-0.068400162,0.028542258,genus_Roseburia vs genus_unclassified_Ruminococcaceae,-0.062345669,0.445435621,-0.220404994,0.098904068,0.663702916,1
genus_Ruminococcus vs genus_unclassified_Bacteria,0.261534782,0.000717678,0.111849952,0.399614784,0.006192691,genus_Ruminococcus vs genus_unclassified_Bacteria,0.456182409,3.50E-09,0.319261617,0.574446984,1.17E-07,2
genus_Veillonella vs genus_unclassified_Lachnospiraceae,-0.202015661,0.009484527,-0.345450374,-0.049357691,0.049975074,genus_Veillonella vs genus_unclassified_Lachnospiraceae,-0.137667627,0.090773341,-0.291497887,0.02310363,0.257256952,1
genus_unclassified_Bacteria vs genus_unclassified_Clostridiales,0.363168292,1.76E-06,0.221369271,0.489928302,3.95E-05,genus_unclassified_Bacteria vs genus_unclassified_Clostridiales,0.311406745,9.42E-05,0.159084577,0.449247874,0.001346131,2
genus_unclassified_Bacteria vs genus_unclassified_Firmicutes,0.230133315,0.003031774,0.078731693,0.371158039,0.02048132,genus_unclassified_Bacteria vs genus_unclassified_Firmicutes,0.062313531,0.445670686,-0.098936016,0.220374298,0.663702916,1
genus_unclassified_Bacteria vs genus_unclassified_Ruminococcaceae,0.299966069,9.53E-05,0.152839982,0.434083678,0.001171096,genus_unclassified_Bacteria vs genus_unclassified_Ruminococcaceae,0.401715149,2.90E-07,0.258067901,0.527985258,7.36E-06,2
genus_unclassified_Clostridiales vs genus_unclassified_Erysipelotrichaceae,0.290596616,0.00016015,0.142799831,0.425716289,0.001776848,genus_unclassified_Clostridiales vs genus_unclassified_Erysipelotrichaceae,0.182785236,0.024199402,0.023203418,0.333283735,0.106824077,1
genus_unclassified_Clostridiales vs genus_unclassified_Firmicutes,0.237728358,0.00217533,0.086711451,0.378065217,0.015426913,genus_unclassified_Clostridiales vs genus_unclassified_Firmicutes,0.068654544,0.400664513,-0.092626118,0.22642479,0.62741421,1
genus_unclassified_Clostridiales vs genus_unclassified_Ruminococcaceae,0.37048336,1.04E-06,0.229392367,0.496325315,2.48E-05,genus_unclassified_Clostridiales vs genus_unclassified_Ruminococcaceae,0.402969792,2.65E-07,0.259464635,0.529064067,6.86E-06,2
genus_unclassified_Clostridiales_Incertae.Sedis.XIII vs genus_unclassified_Lachnospiraceae,-0.189659468,0.01500048,-0.33408474,-0.036532387,0.06874592,genus_unclassified_Clostridiales_Incertae.Sedis.XIII vs genus_unclassified_Lachnospiraceae,-0.222156951,0.00594524,-0.369271235,-0.064180455,0.04064512,1
genus_unclassified_Coriobacteriaceae vs genus_unclassified_Porphyromonadaceae,-0.283407738,0.0002357,-0.419280557,-0.135116916,0.002470786,genus_unclassified_Coriobacteriaceae vs genus_unclassified_Porphyromonadaceae,-0.037778259,0.644022649,-0.196847988,0.123229348,0.809265912,1
genus_unclassified_Erysipelotrichaceae vs genus_unclassified_Ruminococcaceae,0.342020797,7.38E-06,0.198282366,0.471357763,0.000137915,genus_unclassified_Erysipelotrichaceae vs genus_unclassified_Ruminococcaceae,0.154657556,0.057109835,-0.005746398,0.307302391,0.190505373,1
genus_unclassified_Firmicutes vs genus_unclassified_Lachnospiraceae,0.112794704,0.150427884,-0.042133557,0.262425936,0.33840708,genus_unclassified_Firmicutes vs genus_unclassified_Lachnospiraceae,0.23957772,0.002951469,0.082483141,0.385055023,0.023325304,1
