cor_char,IS_cor_r,IS_cor_p,IS_CI_left,IS_CI_right,IS_adj.p,cor_char,IR_cor_r,IR_cor_p,IR_CI_left,IR_CI_right,IR_adj.p,Sig_num
genus_Alistipes vs genus_Clostridium.XlVb,0.133477475,0.08839898,-0.021153352,0.281871558,0.244029409,genus_Alistipes vs genus_Clostridium.XlVb,-0.343705585,1.46E-05,-0.477656465,-0.194137704,0.000269782,1
genus_Alistipes vs genus_Clostridium.sensu.stricto,-0.206600282,0.007948815,-0.349656784,-0.054129211,0.043723278,genus_Alistipes vs genus_Clostridium.sensu.stricto,-0.117726322,0.14860565,-0.272840173,0.043353148,0.345559287,1
genus_Alistipes vs genus_Collinsella,-0.155844908,0.04629257,-0.302764753,-0.001690065,0.155216265,genus_Alistipes vs genus_Collinsella,-0.265433847,0.000949888,-0.408325676,-0.109844999,0.00935527,1
genus_Alistipes vs genus_Faecalibacterium,0.062324604,0.427888156,-0.092762315,0.214459072,0.639308648,genus_Alistipes vs genus_Faecalibacterium,0.272551568,0.000681167,0.117418842,0.414699227,0.007156959,1
genus_Alistipes vs genus_Holdemania,-0.13755622,0.079009119,-0.285691994,0.016999812,0.22588187,genus_Alistipes vs genus_Holdemania,-0.255950675,0.001459036,-0.399812283,-0.099782116,0.013359851,1
genus_Alistipes vs genus_Odoribacter,0.393500301,1.86E-07,0.254762823,0.516364827,5.18E-06,genus_Alistipes vs genus_Odoribacter,0.514663917,1.18E-11,0.386261564,0.623498752,4.84E-10,2
genus_Alistipes vs genus_Oscillibacter,0.232567089,0.002728902,0.081286635,0.373373092,0.018740652,genus_Alistipes vs genus_Oscillibacter,0.329777754,3.34E-05,0.178975189,0.465440434,0.000544118,2
genus_Alistipes vs genus_Parabacteroides,0.261513997,0.000718407,0.11182792,0.399596035,0.006192691,genus_Alistipes vs genus_Parabacteroides,0.528036904,2.73E-12,0.401775203,0.634596349,1.13E-10,2
genus_Alistipes vs genus_Phascolarctobacterium,-0.069590431,0.375914057,-0.221410041,0.08552273,0.589061203,genus_Alistipes vs genus_Phascolarctobacterium,0.254578658,0.001550496,0.098328867,0.398578514,0.013884983,1
genus_Alistipes vs genus_Roseburia,-0.272510471,0.000415251,-0.409498837,-0.123504665,0.003840857,genus_Alistipes vs genus_Roseburia,-0.122480834,0.132775752,-0.277299263,0.038537136,0.323774026,1
genus_Alistipes vs genus_Veillonella,-0.02493542,0.751292172,-0.17844477,0.12975895,0.865124319,genus_Alistipes vs genus_Veillonella,-0.256196245,0.001443196,-0.400033054,-0.100042296,0.013268088,1
genus_Alistipes vs genus_unclassified_Bacteria,0.086159052,0.272651889,-0.068952461,0.237203185,0.488140013,genus_Alistipes vs genus_unclassified_Bacteria,0.241848876,0.002683959,0.084877107,0.387106514,0.021434067,1
genus_Alistipes vs genus_unclassified_Clostridiales,0.118199575,0.131707005,-0.036664116,0.267519269,0.311246812,genus_Alistipes vs genus_unclassified_Clostridiales,0.278636816,0.000508936,0.123908389,0.420137215,0.005592169,1
genus_Alistipes vs genus_unclassified_Coriobacteriaceae,-0.168192224,0.031334647,-0.31423808,-0.014369431,0.118972515,genus_Alistipes vs genus_unclassified_Coriobacteriaceae,-0.298361207,0.000188852,-0.437694033,-0.145034631,0.002432668,1
genus_Alistipes vs genus_unclassified_Ruminococcaceae,0.271061273,0.000446952,0.121963452,0.408195616,0.004100807,genus_Alistipes vs genus_unclassified_Ruminococcaceae,0.360344022,5.11E-06,0.212345284,0.49218237,0.000102262,2
genus_Anaerotruncus vs genus_unclassified_Erysipelotrichaceae,-0.21768514,0.005109209,-0.359803414,-0.065694799,0.031105464,genus_Anaerotruncus vs genus_unclassified_Erysipelotrichaceae,-0.175653316,0.030419773,-0.326717589,-0.015837626,0.124518998,1
genus_Bacteroides vs genus_Blautia,0.221426898,0.004379952,0.069608071,0.363220896,0.027359702,genus_Bacteroides vs genus_Blautia,-0.179416548,0.026986383,-0.330184102,-0.019722102,0.114153902,1
genus_Bacteroides vs genus_Butyricimonas,0.275677596,0.000353076,0.126875388,0.412344996,0.003368258,genus_Bacteroides vs genus_Butyricimonas,0.152477822,0.06074657,-0.007978674,0.30527944,0.197296553,1
genus_Bacteroides vs genus_Clostridium.IV,-0.248662878,0.001324283,-0.38798206,-0.098233976,0.010067853,genus_Bacteroides vs genus_Clostridium.IV,0.056995453,0.485518894,-0.104218019,0.215290477,0.695351461,1
genus_Bacteroides vs genus_Clostridium.XlVa,0.327664418,1.84E-05,0.18269975,0.458685101,0.000292086,genus_Bacteroides vs genus_Clostridium.XlVa,-0.019049747,0.815805336,-0.178765513,0.14164421,0.916562548,1
genus_Bacteroides vs genus_Clostridium.XlVb,0.225958472,0.003622739,0.074353627,0.367354643,0.023633322,genus_Bacteroides vs genus_Clostridium.XlVb,-0.018209222,0.823797335,-0.177951443,0.14246806,0.919753547,1
genus_Bacteroides vs genus_Collinsella,-0.310834979,5.10E-05,-0.443761251,-0.164525102,0.000696293,genus_Bacteroides vs genus_Collinsella,-0.234606957,0.003622755,-0.380560009,-0.077249909,0.027305391,2
genus_Bacteroides vs genus_Faecalibacterium,-0.226352876,0.003562773,-0.367714158,-0.074766981,0.023308815,genus_Bacteroides vs genus_Faecalibacterium,0.235590399,0.003479946,0.078284592,0.381449875,0.026447591,2
genus_Bacteroides vs genus_Flavonifractor,-0.08226473,0.294997809,-0.233498296,0.07285488,0.513627342,genus_Bacteroides vs genus_Flavonifractor,-0.300375394,0.000169974,-0.439480916,-0.147199866,0.002240119,1
genus_Bacteroides vs genus_Odoribacter,0.439294733,3.99E-09,0.305814297,0.555839172,1.38E-07,genus_Bacteroides vs genus_Odoribacter,0.357870981,6.00E-06,0.209632497,0.490027959,0.000118357,2
genus_Bacteroides vs genus_Oscillibacter,-0.225016261,0.003769694,-0.366495608,-0.073366359,0.024370997,genus_Bacteroides vs genus_Oscillibacter,0.094761552,0.245532175,-0.066510038,0.251208074,0.468071371,1
genus_Bacteroides vs genus_Parabacteroides,0.448083123,1.78E-09,0.315700142,0.563355039,6.35E-08,genus_Bacteroides vs genus_Parabacteroides,0.621951756,1.21E-17,0.512803929,0.711313185,6.15E-16,2
genus_Bacteroides vs genus_Phascolarctobacterium,-0.10105563,0.19790491,-0.251334709,0.053980976,0.399666249,genus_Bacteroides vs genus_Phascolarctobacterium,0.286866022,0.000339494,0.132705441,0.42747499,0.003939165,1
genus_Bacteroides vs genus_unclassified_Bacteria,-0.27771468,0.000317769,-0.414174226,-0.129045243,0.003089611,genus_Bacteroides vs genus_unclassified_Bacteria,-0.020397895,0.803026544,-0.18007077,0.140322345,0.909764234,1
genus_Bacteroides vs genus_unclassified_Clostridiales,-0.308408165,5.88E-05,-0.441603124,-0.161912479,0.000774448,genus_Bacteroides vs genus_unclassified_Clostridiales,0.068634469,0.400802593,-0.092646115,0.226405654,0.627414976,1
